file_name;a–o;MSPA-class_color;FGdata_pixels_porc;BGarea
mb_full_2013_8_1_1_1.txt;2013;Core-Opening [darkgrey];--/ 6.67;635929/99649304
mb_full_2013_8_1_1_1.txt;2013;Border-Opening [grey];--/ 3.82;247534/57106088
mb_full_2014_8_1_1_1.txt;2014;CORE(s) [green];--/--;0
mb_full_2014_8_1_1_1.txt;2014;CORE(m) [green];87.68/46.11;1048702
mb_full_2014_8_1_1_1.txt;2014;CORE(l) [green];--/--;0
mb_full_2014_8_1_1_1.txt;2014;ISLET [brown];0.66/ 0.35;534566
mb_full_2014_8_1_1_1.txt;2014;PERFORATION [blue];3.09/ 1.63;341658
mb_full_2014_8_1_1_1.txt;2014;EDGE [black];6.29/ 3.31;786218
mb_full_2014_8_1_1_1.txt;2014;LOOP [yellow];0.00/ 0.00;0
mb_full_2014_8_1_1_1.txt;2014;BRIDGE [red];0.50/ 0.26;781922
mb_full_2014_8_1_1_1.txt;2014;BRANCH [orange];1.78/ 0.94;4644695
mb_full_2014_8_1_1_1.txt;2014;Background [grey];--/47.41;1005089/708582463
mb_full_2014_8_1_1_1.txt;2014;Missing [white];45.38;132/1242037686
mb_full_2014_8_1_1_1.txt;2014;Opening [grey];83.15 Integrity;1003180/159292212
mb_full_2014_8_1_1_1.txt;2014;Core-Opening [darkgrey];--/ 6.59;666321/98558744
mb_full_2014_8_1_1_1.txt;2014;Border-Opening [grey];--/ 4.06;336859/60733468
mb_full_2015_8_1_1_1.txt;2015;CORE(s) [green];--/--;0
mb_full_2015_8_1_1_1.txt;2015;CORE(m) [green];87.54/45.99;1067172
mb_full_2015_8_1_1_1.txt;2015;CORE(l) [green];--/--;0
mb_full_2015_8_1_1_1.txt;2015;ISLET [brown];0.67/ 0.35;543784
mb_full_2015_8_1_1_1.txt;2015;PERFORATION [blue];3.11/ 1.64;344575
mb_full_2015_8_1_1_1.txt;2015;EDGE [black];6.37/ 3.35;801099
mb_full_2015_8_1_1_1.txt;2015;LOOP [yellow];0.00/ 0.00;0
mb_full_2015_8_1_1_1.txt;2015;BRIDGE [red];0.51/ 0.27;788702
mb_full_2015_8_1_1_1.txt;2015;BRANCH [orange];1.80/ 0.95;4684850
mb_full_2015_8_1_1_1.txt;2015;Background [grey];--/47.47;1009455/709481090
mb_full_2015_8_1_1_1.txt;2015;Missing [white];45.38;130/1242037636
mb_full_2015_8_1_1_1.txt;2015;Opening [grey];82.56 Integrity;1007636/165923156
mb_full_2015_8_1_1_1.txt;2015;Core-Opening [darkgrey];--/ 6.63;684530/99104376
mb_full_2015_8_1_1_1.txt;2015;Border-Opening [grey];--/ 4.47;323106/66818780
mb_full_2016_8_1_1_1.txt;2016;CORE(s) [green];--/--;0
mb_full_2016_8_1_1_1.txt;2016;CORE(m) [green];87.57/45.71;1050752
mb_full_2016_8_1_1_1.txt;2016;CORE(l) [green];--/--;0
mb_full_2016_8_1_1_1.txt;2016;ISLET [brown];0.66/ 0.34;523141
mb_full_2016_8_1_1_1.txt;2016;PERFORATION [blue];3.20/ 1.67;348390
mb_full_2016_8_1_1_1.txt;2016;EDGE [black];6.27/ 3.28;789227
mb_full_2016_8_1_1_1.txt;2016;LOOP [yellow];0.00/ 0.00;0
mb_full_2016_8_1_1_1.txt;2016;BRIDGE [red];0.51/ 0.27;783600
mb_full_2016_8_1_1_1.txt;2016;BRANCH [orange];1.79/ 0.93;4608559
mb_full_2016_8_1_1_1.txt;2016;Background [grey];--/47.80;1011973/714455253
mb_full_2016_8_1_1_1.txt;2016;Missing [white];45.38;139/1242037694
mb_full_2016_8_1_1_1.txt;2016;Opening [grey];82.36 Integrity;1010142/167136608
mb_full_2016_8_1_1_1.txt;2016;Core-Opening [darkgrey];--/ 8.02;693014/119848448
mb_full_2016_8_1_1_1.txt;2016;Border-Opening [grey];--/ 3.16;317128/47288160
mb_full_2017_8_1_1_1.txt;2017;CORE(s) [green];--/--;0
mb_full_2017_8_1_1_1.txt;2017;CORE(m) [green];87.47/45.27;1051537
mb_full_2017_8_1_1_1.txt;2017;CORE(l) [green];--/--;0
mb_full_2017_8_1_1_1.txt;2017;ISLET [brown];0.67/ 0.35;529439
mb_full_2017_8_1_1_1.txt;2017;PERFORATION [blue];3.14/ 1.62;346982
mb_full_2017_8_1_1_1.txt;2017;EDGE [black];6.42/ 3.32;788098
mb_full_2017_8_1_1_1.txt;2017;LOOP [yellow];0.00/ 0.00;0
mb_full_2017_8_1_1_1.txt;2017;BRIDGE [red];0.51/ 0.27;782449
mb_full_2017_8_1_1_1.txt;2017;BRANCH [orange];1.80/ 0.93;4570730
mb_full_2017_8_1_1_1.txt;2017;Background [grey];--/48.25;1010991/721181508
mb_full_2017_8_1_1_1.txt;2017;Missing [white];45.38;136/1242037667
mb_full_2017_8_1_1_1.txt;2017;Opening [grey];81.59 Integrity;1009133/174494520
mb_full_2017_8_1_1_1.txt;2017;Core-Opening [darkgrey];--/ 6.56;679011/98088992
mb_full_2017_8_1_1_1.txt;2017;Border-Opening [grey];--/ 5.11;330122/76405528
mb_full_2018_8_1_1_1.txt;2018;CORE(s) [green];--/--;0
mb_full_2018_8_1_1_1.txt;2018;CORE(m) [green];87.35/45.02;1060876
mb_full_2018_8_1_1_1.txt;2018;CORE(l) [green];--/--;0
mb_full_2018_8_1_1_1.txt;2018;ISLET [brown];0.69/ 0.35;549473
mb_full_2018_8_1_1_1.txt;2018;PERFORATION [blue];3.08/ 1.59;342711
mb_full_2018_8_1_1_1.txt;2018;EDGE [black];6.54/ 3.37;794040
mb_full_2018_8_1_1_1.txt;2018;LOOP [yellow];0.00/ 0.00;0
mb_full_2018_8_1_1_1.txt;2018;BRIDGE [red];0.53/ 0.27;796310
mb_full_2018_8_1_1_1.txt;2018;BRANCH [orange];1.82/ 0.94;4608561
mb_full_2018_8_1_1_1.txt;2018;Background [grey];--/48.46;1022521/724284533
mb_full_2018_8_1_1_1.txt;2018;Missing [white];45.38;129/1242037604
mb_full_2018_8_1_1_1.txt;2018;Opening [grey];81.89 Integrity;1020657/170330096
mb_full_2018_8_1_1_1.txt;2018;Core-Opening [darkgrey];--/ 5.60;672062/83635480
mb_full_2018_8_1_1_1.txt;2018;Border-Opening [grey];--/ 5.80;348595/86694616
mb_full_2019_8_1_1_1.txt;2019;CORE(s) [green];--/--;0
mb_full_2019_8_1_1_1.txt;2019;CORE(m) [green];86.91/43.70;1099762
mb_full_2019_8_1_1_1.txt;2019;CORE(l) [green];--/--;0
mb_full_2019_8_1_1_1.txt;2019;ISLET [brown];0.74/ 0.37;601597
mb_full_2019_8_1_1_1.txt;2019;PERFORATION [blue];3.15/ 1.58;341425
mb_full_2019_8_1_1_1.txt;2019;EDGE [black];6.72/ 3.38;822850
mb_full_2019_8_1_1_1.txt;2019;LOOP [yellow];0.00/ 0.00;0
mb_full_2019_8_1_1_1.txt;2019;BRIDGE [red];0.57/ 0.29;847046
mb_full_2019_8_1_1_1.txt;2019;BRANCH [orange];1.91/ 0.96;4684118
mb_full_2019_8_1_1_1.txt;2019;Background [grey];--/49.72;1071904/743133658
mb_full_2019_8_1_1_1.txt;2019;Missing [white];45.38;127/1242037575
mb_full_2019_8_1_1_1.txt;2019;Opening [grey];83.31 Integrity;1070130/150612168
mb_full_2019_8_1_1_1.txt;2019;Core-Opening [darkgrey];--/ 5.74;702872/85786568
mb_full_2019_8_1_1_1.txt;2019;Border-Opening [grey];--/ 4.34;367258/64825600
